gene	cytoband
MRPS18C	4q21.23
CHIC1	23q13.2
TMEM14B	6p24.2
SOWAHC	2q13
PRELID2	5q32
MTRNR2L12	3q11.2
THEG	19p13.3
RDH13	19q13.42
PON3	7q21.3
IRF1-AS1	5q31.1
KDM4C	9p24.1
TREM2	6p21.1
TNS4	17q21.2
E4F1	16p13.3
RP11-402G3.3	9q32
MRPS31	13q14.11
TBL1Y	24p11.2
CRADD	12q22
TCHP	12q24.11
TBC1D26	17p12
KCND1	23p11.23
C14orf178	14q24.3
VSIG10L	19q13.41
FAM228A	2p23.3
LILRA6	19q13.42
PDIA5	3q21.1
TNFAIP8	5q23.1
SLC35D2	9q22.32
KRT6C	12q13.13
ZBTB20	3q13.31
GARRE1	19q13.11
NFE2L3	7p15.2
OR13C8	9q31.1
ZNF232	17p13.2
LRRC47	1p36.32
COL6A3	2q37.3
TBC1D23	3q12.1
PRSS1	7q34
RNF214	11q23.3
GPR135	14q23.1
ATP10A	15q12
FBXL8	16q22.1
TOMM22	22q13.1
SRPX	23p11.4
RAP2A	13q32.1
INSM2	14q13.2
E2F1	20q11.22
CCND1	11q13.3
BSPH1	19q13.33
PNRC1	6q15
EYA3	1p35.3
DNER	2q36.3
PCDH7	4p15.1
MPZL3	11q23.3
ERICH6	3q25.1
ALG10	12p11.1
NTRK1	1q23.1
VPS16	20p13
SCGB1D1	11q12.3
OGDHL	10q11.23
ZNF839	14q32.31
ITIH6	23p11.22
SERTAD2	2p14
VEZT	12q22
AP006285.2	11p15.5
PLEKHO1	1q21.2
KANK3	19p13.2
PRPF39	14q21.2
PTX4	16p13.3
ZMYND12	1p34.2
NCAPH	2q11.2
TLN2	15q22.2
NOTUM	17q25.3
ADAMTS10	19p13.2
ACSL3	2q36.1
LIMD1	3p21.31
OSBP	11q12.1
SPARC	5q33.1
TUBB	6p21.33
THAP2	12q21.1
CINP	14q32.31
RP11-96L14.8	1p36.11
MRPL35	2p11.2
BOLA3	2p13.1
SI	3q26.1
STX5	11q12.3
CCT7	2p13.2
PROSER3	19q13.12
DCAF8L1	23p21.3
DEPDC5	22q12.3
TRIB3	20p13
KCNJ5	11q24.3
MRC2	17q23.2
NPM2	8p21.3
TEX30	13q33.1
MBD3L2	19p13.2
SURF1	9q34.2
SPINT2	19q13.2
CENPM	22q13.2
CHD5	1p36.31
DCP1A	3p21.1
TST	22q12.3
ADAMTS1	21q21.3
POTEB	15q11.2
MPP1	23q28
ELOA2	18q21.1
DOCK11	23q24
MFSD2A	1p34.2
CACNA2D3	3p14.3
F3	1p21.3
SMU1	9p21.1
SDHC	1q23.3
C9orf152	9q31.3
UGP2	2p15
WNT3A	1q42.13
CHRNA2	8p21.2
ZNF732	4p16.3
MTMR12	5p13.3
PRKAG1	12q13.12
NAB1	2q32.2
ZNF683	1p36.11
GTF2H3	12q24.31
KMT5C	19q13.42
SPIN3	23p11.21
PTEN	10q23.31
PDE6C	10q23.33
GRIN3A	9q31.1
NCF1	7q11.23
CT45A10	23q26.3
EID3	12q23.3
AC025335.1	17p13.1
NLN	5q12.3
SLC25A40	7q21.12
PSIP1	9p22.3
SLC20A2	8p11.21
UBE3B	12q24.11
TMEM184B	22q13.1
AC006386.1	24q11.23
ZBED1	23p22.33
ROR2	9q22.31
IL1R2	2q11.2
ODF4	17p13.1
SNHG28	1q23.2
KPNA6	1p35.2
PCDHGA2	5q31.3
HVCN1	12q24.11
COL18A1	21q22.3
MINDY3	10p13
TACC1	8p11.22
IRX6	16q12.2
MAP1S	19p13.11
MSMP	9p13.3
PUS7L	12q12
ST6GAL1	3q27.3
IFT20	17q11.2
OR2AG2	11p15.4
OR8J3	11q12.1
NIPAL3	1p36.11
ALAS2	23p11.21
HES7	17p13.1
LNPK	2q31.1
CHURC1-FNTB	14q23.3
TTC7A	2p21
GLI2	2q14.2
EFHD1	2q37.1
STS	23p22.31
PPP1R2	3q29
ZBTB37	1q25.1
CCDC30	1p34.2
MRPS15	1p34.3
STUM	1q42.12
FAM78A	9q34.13
MCOLN1	19p13.2
CADPS	3p14.2
SF3B1	2q33.1
LIG1	19q13.33
AC004813.1	12q24.23
ARHGAP31	3q13.33
ZSCAN5B	19q13.43
ACTA2	10q23.31
PRC1	15q26.1
IFI44	1p31.1
RBBP8NL	20q13.33
ZGLP1	19p13.2
SYNRG	17q12
PNO1	2p14
UGT2A2	4q13.3
RP1-302G2.5	6p21.1
YKT6	7p13
MTHFD1	14q23.3
SESN2	1p35.3
HECW2	2q32.3
COPG1	3q21.3
SHC2	19p13.3
ZNF652	17q21.33
USP42	7p22.1
SCN10A	3p22.2
PDLIM2	8p21.3
DOCK7	1p31.3
ZNF605	12q24.33
HSD17B14	19q13.33
OR4X1	11p11.2
TNFRSF10B	8p21.3
OR2T5	1q44
PKMYT1	16p13.3
TLE5	19p13.3
TMLHE	23q28
DBT	1p21.2
DDX58	9p21.1
CDK5R2	2q35
LEUTX	19q13.2
COQ8B	19q13.2
CRCT1	1q21.3
VARS1	6p21.33
SYBU	8q23.2
PHB1	17q21.33
NLRP11	19q13.43
TMEM14A	6p12.2
TSPAN15	10q22.1
CYFIP2	5q33.3
MAPRE1	20q11.21
SCGB1A1	11q12.3
NAIF1	9q34.11
UCK1	9q34.13
KLRF1	12p13.31
CBX5	12q13.13
OR4D9	11q12.1
DCTN6	8p12
PHAF1	16q22.1
PLXDC2	10p12.31
HROB	17q21.31
ZFAND2B	2q35
PTGFRN	1p13.1
CAMK2A	5q32
LY75	2q24.2
OSTC	4q25
PDE4DIP	1q21.2
ATXN2L	16p11.2
FOXE1	9q22.33
BLVRA	7p13
FOXD4L1	2q14.1
RFTN1	3p24.3
VPS11	11q23.3
RPS27L	15q22.2
XKRX	23q22.1
ARHGEF18	19p13.2
ZSWIM8	10q22.2
SEC23A	14q21.1
CASKIN1	16p13.3
HSBP1	16q23.3
NRIP3	11p15.4
ATOH8	2p11.2
ALOX12B	17p13.1
RARRES2	7q36.1
VDR	12q13.11
FAM76A	1p35.3
MYL10	7q22.1
METTL7A	12q13.12
PDZD8	10q26.11
C17orf107	17p13.2
USP45	6q16.2
CDK2	12q13.2
PABPC3	13q12.13
MYH1	17p13.1
PMPCA	9q34.3
ZNF343	20p13
SUPT16H	14q11.2
ZBTB24	6q21
TRMT1	19p13.13
OPHN1	23q12
SS18L2	3p22.1
ADIG	20q11.23
TLX3	5q35.1
FKBP2	11q13.1
ZNF613	19q13.41
PDP1	8q22.1
OR10J5	1q23.2
OR5AU1	14q11.2
GABRR1	6q15
DDX27	20q13.13
UBE2QL1	5p15.31
NUP93	16q13
PCM1	8p22
TGM6	20p13
ID4	6p22.3
FAM126B	2q33.1
BMPER	7p14.3
CYP39A1	6p12.3
ATN1	12p13.31
ZNF524	19q13.42
REPS2	23p22.2
TUBA1C	12q13.12
CPXM2	10q26.13
FBLN5	14q32.12
MRPL36	5p15.33
ZNF107	7q11.21
TRAPPC13	5q12.3
SC5D	11q23.3
NUTM2D	10q23.2
PKD2L1	10q24.31
ACAP2	3q29
TIMM9	14q23.1
IFI27	14q32.12
VEGFD	23p22.2
CYB5R1	1q32.1
RD3L	14q32.33
DENND11	7q34
PSMA3	14q23.1
GPR137B	1q42.3
DYNAP	18q21.2
FRG2C	3p12.3
INTU	4q28.1
SLC25A4	4q35.1
RP11-49K24.9	18q21.1
KRTAP5-6	11p15.5
MOAP1	14q32.12
C21orf62	21q22.11
RPL32	3p25.2
ARAP2	4p14
SPCS2	11q13.4
CBFA2T2	20q11.22
CETN2	23q28
SDAD1	4q21.1
ZNF625	19p13.2
BICRAL	6p21.1
APOBEC3B	22q13.1
SERPINB1	6p25.2
ZNF662	3p22.1
ARHGAP20	11q23.1
LRIF1	1p13.3
EFS	14q11.2
ADGRG5	16q21
STAT3	17q21.2
FLVCR2	14q24.3
TUBB1	20q13.32
KCNAB1	3q25.31
CATSPER2	15q15.3
STXBP4	17q22
GPR22	7q22.3
CCDC80	3q13.2
KIAA1586	6p12.1
PCDHA8	5q31.3
CA1	8q21.2
OXR1	8q23.1
UBE2W	8q21.11
OR52E4	11p15.4
AQP5	12q13.12
PLD2	17p13.2
DNAH5	5p15.2
DNAL4	22q13.1
CLCA4	1p22.3
BCL9L	11q23.3
FAM151A	1p32.3
C1orf115	1q41
HAX1	1q21.3
RCAN3	1p36.11
LYPLA1	8q11.23
ARID4B	1q42.3
AHSG	3q27.3
GET1	21q22.2
ZNF586	19q13.43
COX18	4q13.3
PPP1R3C	10q23.32
EEF1A1	6q13
CYP11A1	15q24.1
CCDC186	10q25.3
MMP27	11q22.2
KCNG4	16q24.1
UBE2G1	17p13.2
NR1D1	17q21.1
MLLT1	19p13.3
AVP	20p13
DYDC1	10q23.1
IRGM	5q33.1
TMC1	9q21.13
KRTAP20-2	21q22.11
AK4	1p31.3
LA16c-306E5.2	16p13.3
TMCC1	3q22.1
PLCB1	20p12.3
TMEM170B	6p24.2
CPN1	10q24.2
CLLU1	12q22
CCDC39	3q26.33
EZH1	17q21.2
GLIPR1L1	12q21.2
RIN1	11q13.2
SLC5A8	12q23.1
WDR77	1p13.2
AAMDC	11q14.1
STXBP3	1p13.3
OR2J3	6p22.1
FHIP1A	4q31.3
WDR27	6q27
GNAT3	7q21.11
MYLK3	16q11.2
JPH3	16q24.2
LRRC4C	11p12
TMX2	11q12.1
NMBR	6q24.1
RBMX	23q26.3
SLC51B	15q22.31
ACKR3	2q37.3
ILKAP	2q37.3
PCSK9	1p32.3
EDRF1	10q26.2
CTU2	16q24.3
EML1	14q32.2
SLC22A12	11q13.1
SUPT5H	19q13.2
SND1	7q32.1
LVRN	5q23.1
NOLC1	10q24.32
MYH11	16p13.11
APOOL	23q21.1
PTPN5	11p15.1
GFM2	5q13.3
ASB10	7q36.1
FOXD3	1p31.3
PLAUR	19q13.31
PIK3R1	5q13.1
ZNF446	19q13.43
CLDND1	3q11.2
PRDX5	11q13.1
ZFP90	16q22.1
SSRP1	11q12.1
OXSM	3p24.2
OR51E1	11p15.4
KIR2DL1	19q13.42
SLITRK2	23q27.3
WDR47	1p13.3
CTNNAL1	9q31.3
CCDC169-SOHLH2	13q13.3
GP1BB	22q11.21
MBD4	3q21.3
CAST	5q15
NAP1L5	4q22.1
SCHIP1	3q25.33
MAGEE1	23q13.3
EPAS1	2p21
TMEM129	4p16.3
CEP192	18p11.21
ENC1	5q13.3
SYCP2L	6p24.2
KCNMA1	10q22.3
POLG2	17q23.3
TIGD5	8q24.3
RFLNA	12q24.31
TMEM39A	3q13.33
PPP1R18	6p21.33
FLACC1	2q33.1
BIK	22q13.2
AP3M1	10q22.2
USP17L1	8p23.1
FAM25C	10q11.22
NFYB	12q23.3
R3HDM4	19p13.3
FAM86B2	8p23.1
ADAM18	8p11.22
ZEB2	2q22.3
C19orf33	19q13.2
ZNF548	19q13.43
TBPL2	14q22.3
CD1B	1q23.1
HHAT	1q32.2
ADAM19	5q33.3
HPS6	10q24.32
CDK9	9q34.11
RIT1	1q22
SFMBT2	10p14
FLNB	3p14.3
HMGN3	6q14.1
TUFT1	1q21.3
IFITM5	11p15.5
ABCC5	3q27.1
FMN1	15q13.3
RASL10B	17q12
GNA13	17q24.1
ARMC6	19p13.11
POM121	7q11.23
SYMPK	19q13.32
MERTK	2q13
ATAT1	6p21.33
CDC123	10p13
EHD4	15q15.1
DNAJC5	20q13.33
OR10H1	19p13.12
RPUSD4	11q24.2
ENAH	1q42.12
PIK3CG	7q22.3
OPA1	3q29
CARD10	22q13.1
TGM7	15q15.2
PMM2	16p13.2
ZNF561	19p13.2
FKBP1A	20p13
MACROH2A1	5q31.1
APBB3	5q31.3
OR8B12	11q24.2
FBXO10	9p13.2
METTL3	14q11.2
GPR65	14q31.3
NISCH	3p21.1
ANO9	11p15.5
GZMM	19p13.3
TAS2R16	7q31.32
TRARG1	17p13.3
PGR	11q22.1
ZNF217	20q13.2
DCLRE1A	10q25.3
SPATA4	4q34.2
OPN3	1q43
ODF3B	22q13.33
RHEX	1q32.1
MAP7D1	1p34.3
ARID5B	10q21.2
ZNF774	15q26.1
ZMYM6	1p34.3
MDH1	2p15
SLC66A3	2p25.1
MRPS2	9q34.3
RANBP2	2q13
EIF2S1	14q23.3
MYH13	17p13.1
SNF8	17q21.32
STON1	2p16.3
EPN3	17q21.33
USH1G	17q25.1
CAMKV	3p21.31
RAB3D	19p13.2
BTBD8	1p22.1
SLC6A1	3p25.3
SP140	2q37.1
PSMB5	14q11.2
TH	11p15.5
CHST12	7p22.3
DIRAS3	1p31.3
REG3G	2p12
CS	12q13.3
SLCO4A1	20q13.33
KISS1	1q32.1
MAGEB6B	23p21.3
SOX15	17p13.1
FGGY	1p32.1
FAM133A	23q21.32
STOX2	4q35.1
UBB	17p11.2
MEF2A	15q26.3
GCGR	17q25.3
CDK15	2q33.1
ETF1	5q31.2
ZNF177	19p13.2
CD58	1p13.1
ACTL6A	3q26.33
H2AZ1	4q23
C7orf31	7p15.3
NUMB	14q24.3
MNT	17p13.3
DDTL	22q11.23
KCTD7	7q11.21
SNRNP27	2p13.3
SRPX2	23q22.1
SEC16A	9q34.3
FNDC1	6q25.3
CD40LG	23q26.3
YTHDF3	8q12.3
COX19	7p22.3
PDCL2	4q12
CLCN7	16p13.3
EPRS1	1q41
METTL21A	2q33.3
RWDD2A	6q14.1
ARHGAP18	6q22.33
GIMAP1-GIMAP5	7q36.1
ST8SIA6	10p12.33
ANGPTL8	19p13.2
BLK	8p23.1
EIF6	20q11.22
MS4A5	11q12.2
NEDD9	6p24.2
GUCY2C	12p12.3
TRIM11	1q42.13
ZYG11A	1p32.3
TP53TG3	16p11.2
LINC02693	17p11.2
C8orf33	8q24.3
AP1AR	4q25
ZNHIT1	7q22.1
SYN2	3p25.2
IFT88	13q12.11
FREM1	9p22.3
UBXN11	1p36.11
CXCL13	4q21.1
SSH1	12q24.11
ZFP2	5q35.3
DUSP22	6p25.3
TMEM256	17p13.1
CYP8B1	3p22.1
RELN	7q22.1
TXNDC2	18p11.22
MAGEB4	23p21.2
NEXMIF	23q13.3
H2BC18	1q21.2
SNX30	9q32
OTUD1	10p12.2
ATF3	1q32.3
MARK4	19q13.32
KCNS1	20q13.12
DEFB110	6p12.3
FAM166B	9p13.3
ZC3H14	14q31.3
KDM8	16p12.1
NIFK	2q14.3
PTPN22	1p13.2
THOC5	22q12.2
THAP9	4q21.22
FOSL2	2p23.2
PRAMEF8	1p36.21
RHNO1	12p13.33
SLC38A3	3p21.31
ANXA3	4q21.21
PTPDC1	9q22.32
PRSS54	16q21
PIRT	17p12
MAGT1	23q21.1
SWAP70	11p15.4
PPFIBP1	12p11.22
SLC25A19	17q25.1
MAGED4	23p11.22
HSD11B2	16q22.1
OPN1MW	23q28
WNT8B	10q24.31
CTSB	8p23.1
TIPARP	3q25.31
C14orf28	14q21.2
CH17-140K24.8	5q31.3
CIR1	2q31.1
ENG	9q34.11
ALOX5	10q11.21
MTRNR2L5	10q21.1
OCA2	15q13.1
RNF167	17p13.2
PSMA8	18q11.2
CCT5	5p15.2
NDUFA1	23q24
VWA3A	16p12.2
UBQLN4	1q22
TMEM54	1p35.1
AC069063.2	3q13.31
RING1	6p21.32
ADCY5	3q21.1
H2BC1	6p22.2
EMX2	10q26.11
LONP2	16q12.1
SLC35E2B	1p36.33
ZNF844	19p13.2
OPN1SW	7q32.1
KRTAP15-1	21q22.11
PCDH10	4q28.3
HSP90B1	12q23.3
ANKRD31	5q13.3
COG2	1q42.2
ADAM7	8p21.2
HSD3B2	1p12
MCM10	10p13
TFRC	3q29
C3orf33	3q25.31
MAP3K3	17q23.3
RALYL	8q21.2
TMEM94	17q25.1
FLNC	7q32.1
FBXW7	4q31.3
POSTN	13q13.3
EXOSC8	13q13.3
RP11-111M22.2	11q13.5
FHOD3	18q12.2
SLC45A4	8q24.3
RNF170	8p11.21
PLEKHG4B	5p15.33
PRPH2	6p21.1
OST4	2p23.3
KMT5A	12q24.31
RAB3GAP1	2q21.3
LAMTOR3	4q23
ISG20L2	1q23.1
LSM5	7p14.3
DCN	12q21.33
NKX6-1	4q21.23
LUC7L	16p13.3
PACS1	11q13.2
BTK	23q22.1
GEMIN7	19q13.32
OR1E1	17p13.3
SSBP1	7q34
GIMAP1	7q36.1
TMIGD2	19p13.3
NME5	5q31.2
HUNK	21q22.11
AKIRIN1	1p34.3
RNF183	9q32
GAMT	19p13.3
ADAMTS2	5q35.3
SOCS7	17q12
MLNR	13q14.2
CACFD1	9q34.2
DNAI4	1p31.3
RTTN	18q22.2
REEP6	19p13.3
VSTM1	19q13.42
U51561.1	22q13.31
NAA20	20p11.23
OR6S1	14q11.2
MAP1A	15q15.3
PRRT1	6p21.32
OR10H4	19p13.12
OR12D3	6p22.1
SLC51A	3q29
SPATA6L	9p24.1
GLYATL1	11q12.1
OR6B2	2q37.3
CPNE3	8q21.3
RAB42	1p35.3
IL26	12q15
DARS2	1q25.1
MEIKIN	5q31.1
PDCD2L	19q13.11
GSAP	7q11.23
HPS5	11p15.1
MKRN3	15q11.2
ZNF69	19p13.2
FBL	19q13.2
OR8I2	11q12.1
SLC6A2	16q12.2
VPS33A	12q24.31
PRSS27	16p13.3
CLEC18C	16q22.1
P2RY10	23q21.1
NUTM2B	10q22.3
SHANK3	22q13.33
SHLD2	10q23.2
ARMC5	16p11.2
SRGAP1	12q14.2
IGFL1	19q13.32
KPNA5	6q22.1
OR4D11	11q12.1
PCDHB1	5q31.3
C7orf26	7p22.1
NRP1	10p11.22
JHY	11q24.1
VAMP5	2p11.2
SLC7A8	14q11.2
DECR2	16p13.3
NSUN3	3q11.2
SGSM2	17p13.3
CLASP2	3p22.3
DSP	6p24.3
NXPH1	7p21.3
CIBAR1	8q22.1
CRCP	7q11.21
PICALM	11q14.2
AASDHPPT	11q22.3
MED13L	12q24.21
KRTAP1-3	17q21.2
NCCRP1	19q13.2
SIGLEC6	19q13.41
ZHX1	8q24.13
CHMP1B	18p11.21
NOSIP	19q13.33
ABRA	8q23.1
SH3BGRL3	1p36.11
VPS26B	11q25
PDRG1	20q11.21
EMC6	17p13.2
NPPB	1p36.22
RANBP6	9p24.1
OGFOD3	17q25.3
KIAA0895	7p14.2
H2BC9	6p22.2
ZNF778	16q24.3
NMUR2	5q33.1
PLA2G4E	15q15.1
CIAO2B	16q22.1
BAZ1A	14q13.2
SPANXA1	23q27.2
C11orf53	11q23.1
NDUFC2	11q14.1
GAL3ST2	2q37.3
RANBP10	16q22.1
TAAR9	6q23.2
RPUSD1	16p13.3
TMC6	17q25.3
HPN	19q13.11
HDAC2	6q21
PPP1R17	7p14.3
ABHD1	2p23.3
ETNPPL	4q25
CUZD1	10q26.13
INPP5B	1p34.3
BBS12	4q27
DACH1	13q21.33
ZNF248	10p11.21
PSMB11	14q11.2
HTRA3	4p16.1
CIB2	15q25.1
STARD8	23q13.1
UNC93A	6q27
MAP3K13	3q27.2
PLCH2	1p36.32
MALRD1	10p12.31
S100A5	1q21.3
PEX14	1p36.22
ILDR1	3q13.33
WFDC1	16q24.1
EYA1	8q13.3
UEVLD	11p15.1
ATF5	19q13.33
GRK5	10q26.11
TEFM	17q11.2
OTUD7B	1q21.2
STX18	4p16.3
SNRK	3p22.1
H1-2	6p22.2
OR8D4	11q24.1
TIA1	2p13.3
C3orf49	3p14.1
RP11-141O19.1	23p11.22
LAMP5	20p12.2
GPR107	9q34.11
MBD6	12q13.3
RDH11	14q24.1
ATP2A1	16p11.2
TMEM88	17p13.1
LBH	2p23.1
FAM166A	9q34.3
GATA3	10p14
SCAF11	12q12
ABAT	16p13.2
RP11-722G7.1	23q22.2
SAYSD1	6p21.2
TRIM6-TRIM34	11p15.4
NRL	14q11.2
LCN2	9q34.11
A2M	12p13.31
RAB40A	23q22.2
DUSP7	3p21.2
AGAP4	10q11.22
CAMK2N1	1p36.12
PMPCB	7q22.1
GJA5	1q21.2
CLEC2B	12p13.31
SSTR5	16p13.3
MFAP3	5q33.2
SLC35B1	17q21.33
LDLR	19p13.2
TADA2B	4p16.1
AC109829.2	2p23.3
SLC26A1	4p16.3
PRB2	12p13.2
ARHGAP25	2p13.3
SFRP2	4q31.3
SPAG1	8q22.2
ELAC1	18q21.2
GATC	12q24.31
DSEL	18q22.1
IRX4	5p15.33
ANKRD6	6q15
HNRNPR	1p36.12
SLAMF6	1q23.3
ECHDC3	10p14
ACOT6	14q24.3
STRA8	7q33
H3-5	12p11.21
AQP11	11q14.1
NRN1L	16q22.1
IL13RA1	23q24
CHST9	18q11.2
USP32	17q23.2
TMEM52	1p36.33
TMEM25	11q23.3
PLCZ1	12p12.3
HDAC1	1p35.1
EPSTI1	13q14.11
EMD	23q28
SPACA6	19q13.41
ST8SIA4	5q21.1
VCAM1	1p21.2
YAP1	11q22.1
FDX1	11q22.3
TAS1R2	1p36.13
EPHA5	4q13.1
KCNH3	12q13.12
NSUN4	1p33
OVGP1	1p13.2
PPP3CC	8p21.3
TMEM50B	21q22.11
REEP4	8p21.3
OR4K2	14q11.2
MORC2	22q12.2
TTLL7	1p31.1
FDCSP	4q13.3
HSPB3	5q11.2
SH3GLB2	9q34.11
H2BC11	6p22.1
IFNL3	19q13.2
TAF11	6p21.31
ANKRD11	16q24.3
RGS7BP	5q12.3
EMC4	15q14
HLA-DMB	6p21.32
SLC9A7	23p11.3
KPNA2	17q24.2
SYNJ2BP	14q24.2
PCED1B	12q13.11
PKD2L2	5q31.2
PLCD1	3p22.2
PCDHB16	5q31.3
ZNF273	7q11.21
GNG4	1q42.3
G2E3	14q12
ANP32A	15q23
LYNX1	8q24.3
LRP4	11p11.2
ERGIC3	20q11.22
NOL10	2p25.1
UPK3A	22q13.31
THRB	3p24.2
FOXP4	6p21.1
SLURP1	8q24.3
HSPA5	9q33.3
ZNF311	6p22.1
KCNK16	6p21.2
TMEM126A	11q14.1
ZNF660	3p21.31
FSTL1	3q13.33
MOB1A	2p13.1
ELMOD1	11q22.3
FASN	17q25.3
ZSWIM4	19p13.12
ECHDC2	1p32.3
MAGEA9B	23q28
DNAJC11	1p36.31
SIAH2	3q25.1
BSCL2	11q12.3
VIRMA	8q22.1
KRTAP10-11	21q22.3
APOL5	22q12.3
ZNF420	19q13.12
H4C12	6p22.1
ELOVL1	1p34.2
CZIB	1p32.3
AMD1	6q21
PCGF5	10q23.32
PLPP2	19p13.3
TMOD3	15q21.2
KRTAP2-4	17q21.2
C16orf54	16p11.2
SLC7A4	22q11.21
SERTM2	23q23
CELF4	18q12.2
IREB2	15q25.1
WDR5B	3q21.1
ATP5MK	10q24.33
FRS2	12q15
POU3F2	6q16.1
PPP2R5B	11q13.1
PARP4	13q12.12
LLGL2	17q25.1
TCL1A	14q32.13
FNBP1	9q34.11
FTH1	11q12.3
ADRB2	5q32
TRAPPC9	8q24.3
CCDC73	11p13
RASSF9	12q21.31
MAPK7	17p11.2
POLR3H	22q13.2
HRH3	20q13.33
AFDN	6q27
DST	6p12.1
ABCA6	17q24.3
SERPINE1	7q22.1
ART1	11p15.4
PCNX4	14q23.1
GLRA1	5q33.1
DBP	19q13.33
RFPL4AL1	19q13.42
KLC2	11q13.2
FAM98B	15q14
NIPSNAP3A	9q31.1
TNRC6A	16p12.1
CCDC182	17q22
NFIX	19p13.13
ZNF432	19q13.41
PRR34	22q13.31
SLC25A24	1p13.3
F12	5q35.3
ZNF385D	3p24.3
TMEM185B	2q14.2
GMCL1	2p13.3
SNHG32	6p21.33
LYPD5	19q13.31
ZCWPW2	3p24.1
CABS1	4q13.3
GZMB	14q12
ATXN7L3B	12q21.1
S100A4	1q21.3
MXRA8	1p36.33
PLCB3	11q13.1
HERC3	4q22.1
DUSP12	1q23.3
RP11-529K1.3	16q22.1
MUC16	19p13.2
PIK3C2G	12p12.3
EP300	22q13.2
NEURL1B	5q35.1
PAGE1	23p11.23
CHRNA3	15q25.1
HCAR3	12q24.31
FAM174C	19p13.3
TRPM8	2q37.1
OR10A4	11p15.4
CNNM2	10q24.32
PTPRO	12p12.3
VSX1	20p11.21
ADAM32	8p11.22
CEP164	11q23.3
SNRPD3	22q11.23
FOXO4	23q13.1
SEZ6L2	16p11.2
TVP23C	17p12
PXK	3p14.3
GHSR	3q26.31
KLK1	19q13.33
DDX52	17q12
ZNF761	19q13.42
CLIC6	21q22.12
ZNF668	16p11.2
RAP2C	23q26.2
GPR157	1p36.22
VMO1	17p13.2
FAM180A	7q33
PRKG1	10q21.1
SSH2	17q11.2
SCRT1	8q24.3
ESYT2	7q36.3
PDCL3	2q11.2
AL365273.1	10q24.1
AP002962.1	11q23.3
HSD17B4	5q23.1
PPP1R37	19q13.32
GHRHR	7p14.3
ADRA2A	10q25.2
AMELY	24p11.2
LOXL1	15q24.1
DPY30	2p22.3
PTTG1	5q33.3
AQP7	9p13.3
FAM168A	11q13.4
MIR9-1HG	1q22
XCR1	3p21.31
SHH	7q36.3
ETFRF1	12p12.1
TMEM40	3p25.2
MUC22	6p21.33
IL17RE	3p25.3
UBR5	8q22.3
PFDN5	12q13.13
CENPV	17p11.2
ENOSF1	18p11.32
DSG1	18q12.1
PPP5D1P	19q13.32
LRRD1	7q21.2
UGT2B11	4q13.2
SNX17	2p23.3
MSH2	2p21
MMP24	20q11.22
AOX1	2q33.1
ADGRG6	6q24.2
PPP1CB	2p23.2
GHR	5p12
N4BP2L2	13q13.1
ACOT1	14q24.3
REC114	15q24.1
ATP6V0D2	8q21.3
ALG2	9q22.33
CYP2F1	19q13.2
FOXI1	5q35.1
JADE2	5q31.1
LRRC55	11q12.1
RAB20	13q34
SPATA2	20q13.13
RP1-139D8.6	6p21.1
PRR20C	13q21.1
CD6	11q12.2
RIC1	9p24.1
RFX3	9p24.2
UQCC1	20q11.22
OR4C3	11p11.2
SRRM2	16p13.3
WDR44	23q24
ZFP64	20q13.2
PLOD2	3q24
SYNC	1p35.1
MSX1	4p16.2
TMEM92	17q21.33
ETV4	17q21.31
EIF5A2	3q26.2
FCHO2	5q13.2
CXorf51A	23q27.3
CD163	12p13.31
PDCD7	15q22.31
NPHS1	19q13.12
OR10W1	11q12.1
TRIM23	5q12.3
UBE2I	16p13.3
IFNA1	9p21.3
HOXB9	17q21.32
CYGB	17q25.1
NPFFR2	4q13.3
RWDD2B	21q21.3
MED9	17p11.2
BRIP1	17q23.2
CD19	16p11.2
HBS1L	6q23.3
NUMA1	11q13.4
INHBE	12q13.3
ANXA2R	5p12
KRTAP12-3	21q22.3
IFNA4	9p21.3
CHST11	12q23.3
LACRT	12q13.2
BNIP2	15q22.2
VAMP2	17p13.1
SIRT7	17q25.3
STBD1	4q21.1
DCTD	4q35.1
KMT2E	7q22.3
PEX7	6q23.3
MEST	7q32.2
TEX11	23q13.1
GREM2	1q43
NIPSNAP1	22q12.2
CACNA1G	17q21.33
ORMDL3	17q21.1
H1-8	3q22.1
CYB561D2	3p21.31
UCHL5	1q31.2
MFSD2B	2p23.3
BICDL2	16p13.3
CTNNA2	2p12
SNAI2	8q11.21
RPS12	6q23.2
SARS1	1p13.3
TRIM44	11p13
UBE3A	15q11.2
FBXW10	17p11.2
SYNGAP1	6p21.32
NXF3	23q22.1
GOLGA3	12q24.33
CA11	19q13.33
CA9	9p13.3
CT45A5	23q26.3
KATNAL2	18q21.1
AC241377.1	1p11.2
GJB4	1p34.3
TAFA1	3p14.1
RGL2	6p21.32
BRD3	9q34.2
SLC17A1	6p22.2
ANXA2	15q22.2
AKAP2	9q31.3
HAMP	19q13.12
PRMT2	21q22.3
C11orf87	11q22.3
OXT	20p13
USP9Y	24q11.221
AL137860.1	1p36.11
KCNQ4	1p34.2
GALNT18	11p15.4
C1D	2p14
MOG	6p22.1
PDGFRL	8p22
ASCC1	10q22.1
C1QTNF4	11p11.2
AKAP17A	23p22.33
ADAM9	8p11.22
